Car Names,Mileages,Ratings,Reviews,used/certified,Price
2021 Toyota Highlander Platinum,"30,672 mi.",4.6,(316 reviews),Used,"$53,598.00"
2015 BMW X5 xDrive50i,"11,937 mi.",4.5,"(1,235 reviews)",Used,"$27,693.00"
2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,"88,710 mi.",4.7,"(4,336 reviews)",Used,"$42,295.00"
2021 Tesla Model Y Long Range,"12,217 mi.",4.7,(105 reviews),Used,"$71,988.00"
2019 Alfa Romeo Stelvio Ti,"15,407 mi.",4.1,(8 reviews),Used,"$37,888.00"
2020 RAM 1500 Laramie,"19,246 mi.",4.5,(428 reviews),Used,"$56,998.00"
2019 Mercedes-Benz GLA 250 4MATIC,"19,487 mi.",4.5,"(2,610 reviews)",Used,"$33,845.00"
2021 Toyota 4Runner Limited,"18,616 mi.",4.2,"(1,074 reviews)",Used,"$47,000.00"
2021 RAM 1500 Laramie,"37,001 mi.",3.6,(208 reviews),Used,"$55,421.00"
2004 Nissan Pathfinder LE Platinum,"18,046 mi.",4.7,"(1,207 reviews)",Used,"$3,988.00"
2021 Hyundai Palisade Limited,"202,374 mi.",4.6,(284 reviews),Used,"$44,422.00"
2017 Volvo XC60 T6 Dynamic,"18,521 mi.",4.3,(180 reviews),Used,"$26,799.00"
2019 BMW 330 i xDrive,"52,021 mi.",3.7,(3 reviews),Used,"$36,999.00"
2017 Audi Q7 3.0T Premium Plus,"31,096 mi.",4.7,(848 reviews),Used,"$36,998.00"
2021 BMW X1 sDrive28i,"58,731 mi.",4.4,(11 reviews),Used,"$38,488.00"
2021 Tesla Model Y Long Range,"15,892 mi.",4.7,(768 reviews),Used,"$71,400.00"
2020 Ford Edge Sport,"12,045 mi.",4.8,(144 reviews),Ford Certified,"$41,500.00"
2021 Lexus GX 460 Base,"25,055 mi.",4.8,"(5,265 reviews)",Used,"$54,795.00"
2020 Mercedes-Benz S-Class S 560,"19,515 mi.",4.0,(36 reviews),Mercedes-Benz Certified,"$84,893.00"
2021 Jeep Wrangler Unlimited Sahara,"11,195 mi.",4.6,"(1,385 reviews)",Jeep Certified,"$61,500.00"
2018 Jeep Grand Cherokee Limited,"17,491 mi.",3.6,(21 reviews),Used,"$35,507.00"
2019 Tesla Model 3 Standard Range Plus,"31,958 mi.",4.3,"(1,341 reviews)",Used,"$51,998.00"
2019 BMW 740 i,"22,194 mi.",4.6,(666 reviews),Used,"$50,990.00"
2020 Lexus RX 350 Base,"20,243 mi.",4.9,"(2,791 reviews)",Used,"$50,020.00"
